net,length_um
_03315_,194.22µm
net1201,194.16µm
net1234,194.14µm
net1230,194.11µm
net1288,194.11µm
net1222,194.1µm
_06357_,193.89µm
net1286,193.66µm
u_core.pc\[28\],193.615µm
net1404,193.52µm
net1044,193.45µm
net2081,193.42µm
net2340,193.395µm
_03242_,193.2µm
_09165_,193.11µm
_03259_,193.055µm
_03205_,192.78µm
_03152_,192.74µm
net837,192.735µm
net369,192.68µm
net1988,192.62µm
net2419,192.59µm
net892,192.56µm
net1540,192.3µm
net1781,192.23µm
net324,191.77µm
net1274,191.76µm
net808,191.74µm
clknet_6_49_0_clk,191.7µm
_05925_,191.68µm
net948,191.6µm
_06523_,191.435µm
net2414,191.32µm
net1304,191.1µm
_03169_,191.06µm
_05470_,190.97µm
net1520,190.94µm
_03265_,190.88µm
net2484,190.88µm
_04996_,190.66µm
_06967_,190.64µm
net2011,190.505µm
net1548,190.38µm
net1527,190.27µm
u_core.instr\[26\],190.11µm
net6,190.06µm
_03314_,189.92µm
net7,189.7µm
_03160_,189.67µm
net282,189.6µm
_03272_,189.14µm
net1727,189.095µm
net2474,188.99µm
net1410,188.9µm
_09195_,188.86µm
_03305_,188.83µm
net945,188.82µm
net538,188.725µm
_09190_,188.71µm
net1345,188.7µm
net2093,188.685µm
clknet_6_62_0_clk,188.67µm
net564,188.57µm
net930,188.515µm
net441,188.51µm
_06579_,188.46µm
_03103_,188.42µm
_03271_,188.4µm
_05871_,188.18µm
net755,188.105µm
net1591,188.05µm
net2050,187.97µm
net631,187.885µm
net2002,187.805µm
_05929_,187.72µm
net871,187.66µm
net2250,187.55µm
net1118,187.52µm
